"Date Printed: Sunday, April 16, 2023 10:46:30 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



指标 ,年 ,地理 ,案例 ,每 100000 人的比率 
"HIV prevalence","2012","Hawaii","15","2,291","196.0"
"HIV prevalence","2013","Hawaii","15","2,350","199.0"
"HIV prevalence","2014","Hawaii","15","2,375","200.1"
"HIV prevalence","2015","Hawaii","15","2,425","203.1"
"HIV prevalence","2016","Hawaii","15","2,406","200.4"
"HIV prevalence","2017","Hawaii","15","2,400","200.1"
"HIV prevalence","2018","Hawaii","15","2,345","195.7"
"HIV prevalence","2019","Hawaii","15","2,359","197.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","Hawaii","15","2,380","200.4"
"AIDS classifications","2008","Idaho","16","33","2.7"
"AIDS classifications","2009","Idaho","16","28","2.3"
"AIDS classifications","2010","Idaho","16","49","3.9"
"AIDS classifications","2011","Idaho","16","22","1.7"
"AIDS classifications","2012","Idaho","16","17","1.3"
"AIDS classifications","2013","Idaho","16","15","1.2"
"AIDS classifications","2014","Idaho","16","15","1.1"
"AIDS classifications","2015","Idaho","16","23","1.7"
"AIDS classifications","2016","Idaho","16","25","1.8"
"AIDS classifications","2017","Idaho","16","19","1.4"
"AIDS classifications","2018","Idaho","16","23","1.6"
"AIDS classifications","2019","Idaho","16","20","1.4"
"AIDS classifications","2020 (COVID-19 Pandemic)","Idaho","16","16","1.1"
"AIDS deaths","2008","Idaho","16","14","1.1"
"AIDS deaths","2009","Idaho","16","7","0.6"
"AIDS deaths","2010","Idaho","16","12","1.0"
"AIDS deaths","2011","Idaho","16","13","1.0"
"AIDS deaths","2012","Idaho","16","17","1.3"
"AIDS deaths","2013","Idaho","16","11","0.8"
"AIDS deaths","2014","Idaho","16","16","1.2"
"AIDS deaths","2015","Idaho","16","7","0.5"
"AIDS deaths","2016","Idaho","16","8","0.6"
"AIDS deaths","2017","Idaho","16","15","1.1"
"AIDS deaths","2018","Idaho","16","13","0.9"
"AIDS deaths","2019","Idaho","16","11","0.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","Idaho","16","11","0.7"
"AIDS prevalence","2008","Idaho","16","321","26.2"
"AIDS prevalence","2009","Idaho","16","341","27.5"
"AIDS prevalence","2010","Idaho","16","429","34.1"
"AIDS prevalence","2011","Idaho","16","452","35.6"
"AIDS prevalence","2012","Idaho","16","478","37.2"
"AIDS prevalence","2013","Idaho","16","500","38.4"
"AIDS prevalence","2014","Idaho","16","494","37.4"
"AIDS prevalence","2015","Idaho","16","510","38.0"
"AIDS prevalence","2016","Idaho","16","538","39.3"
"AIDS prevalence","2017","Idaho","16","552","39.3"
"AIDS prevalence","2018","Idaho","16","568","39.6"
"AIDS prevalence","2019","Idaho","16","613","41.7"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Idaho","16","617","40.9"
"HIV deaths","2008","Idaho","16","15","1.2"
"HIV deaths","2009","Idaho","16","7","0.6"
"HIV deaths","2010","Idaho","16","15","1.2"
"HIV deaths","2011","Idaho","16","16","1.3"
"HIV deaths","2012","Idaho","16","24","1.9"
"HIV deaths","2013","Idaho","16","14","1.1"
"HIV deaths","2014","Idaho","16","20","1.5"
"HIV deaths","2015","Idaho","16","14","1.0"
"HIV deaths","2016","Idaho","16","12","0.9"
"HIV deaths","2017","Idaho","16","20","1.4"
"HIV deaths","2018","Idaho","16","15","1.0"
"HIV deaths","2019","Idaho","16","11","0.7"
"HIV deaths","2020 (COVID-19 Pandemic)","Idaho","16","19","1.3"
"HIV diagnoses","2008","Idaho","16","49","4.0"
"HIV diagnoses","2009","Idaho","16","48","3.9"
"HIV diagnoses","2010","Idaho","16","45","3.6"
"HIV diagnoses","2011","Idaho","16","35","2.8"
"HIV diagnoses","2012","Idaho","16","36","2.8"
"HIV diagnoses","2013","Idaho","16","25","1.9"
"HIV diagnoses","2014","Idaho","16","21","1.6"
"HIV diagnoses","2015","Idaho","16","40","3.0"
"HIV diagnoses","2016","Idaho","16","46","3.4"
"HIV diagnoses","2017","Idaho","16","45","3.2"
"HIV diagnoses","2018","Idaho","16","37","2.6"
"HIV diagnoses","2019","Idaho","16","33","2.2"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Idaho","16","32","2.1"
"HIV prevalence","2008","Idaho","16","687","56.1"
"HIV prevalence","2009","Idaho","16","724","58.5"
"HIV prevalence","2010","Idaho","16","842","67.0"
"HIV prevalence","2011","Idaho","16","880","69.2"
"HIV prevalence","2012","Idaho","16","930","72.4"
"HIV prevalence","2013","Idaho","16","978","75.1"
"HIV prevalence","2014","Idaho","16","976","73.9"
"HIV prevalence","2015","Idaho","16","1,007","75.1"
"HIV prevalence","2016","Idaho","16","1,067","77.9"
"HIV prevalence","2017","Idaho","16","1,119","79.8"
"HIV prevalence","2018","Idaho","16","1,171","81.6"
"HIV prevalence","2019","Idaho","16","1,244","84.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Idaho","16","1,265","83.8"
"AIDS classifications","2008","Illinois","17","1,126","10.7"
"AIDS classifications","2009","Illinois","17","1,110","10.4"
"AIDS classifications","2010","Illinois","17","1,018","9.6"
"AIDS classifications","2011","Illinois","17","935","8.8"
"AIDS classifications","2012","Illinois","17","930","8.7"
"AIDS classifications","2013","Illinois","17","846","7.9"
"AIDS classifications","2014","Illinois","17","727","6.8"
"AIDS classifications","2015","Illinois","17","670","6.2"
"AIDS classifications","2016","Illinois","17","685","6.4"
"AIDS classifications","2017","Illinois","17","628","5.9"
"AIDS classifications","2018","Illinois","17","611","5.7"
"AIDS classifications","2019","Illinois","17","543","5.1"
"AIDS classifications","2020 (COVID-19 Pandemic)","Illinois","17","481","4.5"
"AIDS deaths","2008","Illinois","17","518","4.9"
"AIDS deaths","2009","Illinois","17","501","4.7"
"AIDS deaths","2010","Illinois","17","536","5.0"
"AIDS deaths","2011","Illinois","17","456","4.3"
"AIDS deaths","2012","Illinois","17","431","4.0"
"AIDS deaths","2013","Illinois","17","401","3.7"
"AIDS deaths","2014","Illinois","17","423","3.9"
"AIDS deaths","2015","Illinois","17","453","4.2"
"AIDS deaths","2016","Illinois","17","410","3.8"
"AIDS deaths","2017","Illinois","17","381","3.6"
"AIDS deaths","2018","Illinois","17","428","4.0"
"AIDS deaths","2019","Illinois","17","410","3.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Illinois","17","527","5.0"
"AIDS prevalence","2008","Illinois","17","15,008","142.1"
"AIDS prevalence","2009","Illinois","17","15,611","146.9"
"AIDS prevalence","2010","Illinois","17","16,025","150.8"
"AIDS prevalence","2011","Illinois","17","16,489","154.6"
"AIDS prevalence","2012","Illinois","17","16,794","156.9"
"AIDS prevalence","2013","Illinois","17","17,045","158.7"
"AIDS prevalence","2014","Illinois","17","17,240","160.3"
"AIDS prevalence","2015","Illinois","17","17,320","161.1"
"AIDS prevalence","2016","Illinois","17","17,381","161.9"
"AIDS prevalence","2017","Illinois","17","17,432","162.6"
"AIDS prevalence","2018","Illinois","17","17,588","164.4"
"AIDS prevalence","2019","Illinois","17","17,460","163.6"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Illinois","17","17,309","162.9"
"HIV deaths","2008","Illinois","17","617","5.8"
"HIV deaths","2009","Illinois","17","611","5.8"
"HIV deaths","2010","Illinois","17","656","6.2"
"HIV deaths","2011","Illinois","17","561","5.3"
"HIV deaths","2012","Illinois","17","550","5.1"
"HIV deaths","2013","Illinois","17","512","4.8"
"HIV deaths","2014","Illinois","17","523","4.9"
"HIV deaths","2015","Illinois","17","548","5.1"
"HIV deaths","2016","Illinois","17","529","4.9"
"HIV deaths","2017","Illinois","17","507","4.7"
"HIV deaths","2018","Illinois","17","558","5.2"
"HIV deaths","2019","Illinois","17","548","5.1"
"HIV deaths","2020 (COVID-19 Pandemic)","Illinois","17","699","6.6"
"HIV diagnoses","2008","Illinois","17","1,781","16.9"
"HIV diagnoses","2009","Illinois","17","1,712","16.1"
"HIV diagnoses","2010","Illinois","17","1,644","15.5"
"HIV diagnoses","2011","Illinois","17","1,605","15.0"
"HIV diagnoses","2012","Illinois","17","1,643","15.4"
"HIV diagnoses","2013","Illinois","17","1,583","14.7"
"HIV diagnoses","2014","Illinois","17","1,531","14.2"
"HIV diagnoses","2015","Illinois","17","1,545","14.4"
"HIV diagnoses","2016","Illinois","17","1,476","13.7"
"HIV diagnoses","2017","Illinois","17","1,372","12.8"
"HIV diagnoses","2018","Illinois","17","1,369","12.8"
"HIV diagnoses","2019","Illinois","17","1,257","11.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Illinois","17","1,096","10.3"
"HIV prevalence","2008","Illinois","17","27,263","258.1"
"HIV prevalence","2009","Illinois","17","28,375","267.0"
"HIV prevalence","2010","Illinois","17","29,560","278.2"
"HIV prevalence","2011","Illinois","17","30,606","286.9"
"HIV prevalence","2012","Illinois","17","31,401","293.4"
"HIV prevalence","2013","Illinois","17","32,132","299.1"
"HIV prevalence","2014","Illinois","17","32,910","306.0"
"HIV prevalence","2015","Illinois","17","33,646","313.0"
"HIV prevalence","2016","Illinois","17","34,213","318.6"
"HIV prevalence","2017","Illinois","17","34,704","323.6"
"HIV prevalence","2018","Illinois","17","35,527","332.1"
"HIV prevalence","2019","Illinois","17","35,644","334.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Illinois","17","35,793","336.8"
"AIDS classifications","2008","Indiana","18","353","6.7"
"AIDS classifications","2009","Indiana","18","349","6.6"
"AIDS classifications","2010","Indiana","18","312","5.8"
"AIDS classifications","2011","Indiana","18","316","5.9"
"AIDS classifications","2012","Indiana","18","286","5.3"
"AIDS classifications","2013","Indiana","18","247","4.5"
"AIDS classifications","2014","Indiana","18","244","4.5"
"AIDS classifications","2015","Indiana","18","257","4.7"
"AIDS classifications","2016","Indiana","18","228","4.1"
"AIDS classifications","2017","Indiana","18","249","4.5"
"AIDS classifications","2018","Indiana","18","252","4.5"
"AIDS classifications","2019","Indiana","18","194","3.5"
"AIDS classifications","2020 (COVID-19 Pandemic)","Indiana","18","214","3.8"
"AIDS deaths","2008","Indiana","18","178","3.4"
"AIDS deaths","2009","Indiana","18","174","3.3"
"AIDS deaths","2010","Indiana","18","147","2.8"
"AIDS deaths","2011","Indiana","18","169","3.1"
"AIDS deaths","2012","Indiana","18","146","2.7"
"AIDS deaths","2013","Indiana","18","153","2.8"
"AIDS deaths","2014","Indiana","18","141","2.6"
"AIDS deaths","2015","Indiana","18","139","2.5"
"AIDS deaths","2016","Indiana","18","162","2.9"
"AIDS deaths","2017","Indiana","18","164","3.0"
"AIDS deaths","2018","Indiana","18","144","2.6"
"AIDS deaths","2019","Indiana","18","130","2.3"
"AIDS deaths","2020 (COVID-19 Pandemic)","Indiana","18","140","2.5"
"AIDS prevalence","2008","Indiana","18","4,128","78.7"
"AIDS prevalence","2009","Indiana","18","4,322","81.9"
"AIDS prevalence","2010","Indiana","18","4,648","87.0"
"AIDS prevalence","2011","Indiana","18","4,851","90.3"
"AIDS prevalence","2012","Indiana","18","4,997","92.5"
"AIDS prevalence","2013","Indiana","18","5,089","93.6"
"AIDS prevalence","2014","Indiana","18","5,189","94.9"
"AIDS prevalence","2015","Indiana","18","5,308","96.8"
"AIDS prevalence","2016","Indiana","18","5,356","97.1"
"AIDS prevalence","2017","Indiana","18","5,472","98.8"
"AIDS prevalence","2018","Indiana","18","5,617","100.7"
"AIDS prevalence","2019","Indiana","18","5,631","100.3"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Indiana","18","5,722","101.4"
"HIV deaths","2008","Indiana","18","202","3.9"
"HIV deaths","2009","Indiana","18","202","3.8"
"HIV deaths","2010","Indiana","18","170","3.2"
"HIV deaths","2011","Indiana","18","198","3.7"
"HIV deaths","2012","Indiana","18","169","3.1"
"HIV deaths","2013","Indiana","18","182","3.3"
"HIV deaths","2014","Indiana","18","180","3.3"
"HIV deaths","2015","Indiana","18","179","3.3"
"HIV deaths","2016","Indiana","18","200","3.6"
"HIV deaths","2017","Indiana","18","210","3.8"
"HIV deaths","2018","Indiana","18","195","3.5"
"HIV deaths","2019","Indiana","18","164","2.9"
"HIV deaths","2020 (COVID-19 Pandemic)","Indiana","18","206","3.7"
"HIV diagnoses","2008","Indiana","18","462","8.8"
"HIV diagnoses","2009","Indiana","18","460","8.7"
"HIV diagnoses","2010","Indiana","18","483","9.0"
"HIV diagnoses","2011","Indiana","18","469","8.7"
"HIV diagnoses","2012","Indiana","18","486","9.0"
"HIV diagnoses","2013","Indiana","18","474","8.7"
"HIV diagnoses","2014","Indiana","18","465","8.5"
"HIV diagnoses","2015","Indiana","18","633","11.5"
"HIV diagnoses","2016","Indiana","18","486","8.8"
"HIV diagnoses","2017","Indiana","18","515","9.3"
"HIV diagnoses","2018","Indiana","18","511","9.2"
"HIV diagnoses","2019","Indiana","18","486","8.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Indiana","18","433","7.7"
"HIV prevalence","2008","Indiana","18","7,803","148.7"
"HIV prevalence","2009","Indiana","18","8,084","153.1"
"HIV prevalence","2010","Indiana","18","8,573","160.5"
"HIV prevalence","2011","Indiana","18","8,915","165.9"
"HIV prevalence","2012","Indiana","18","9,241","171.1"
"HIV prevalence","2013","Indiana","18","9,570","176.0"
"HIV prevalence","2014","Indiana","18","9,921","181.4"
"HIV prevalence","2015","Indiana","18","10,391","189.4"
"HIV prevalence","2016","Indiana","18","10,688","193.8"
"HIV prevalence","2017","Indiana","18","11,009","198.7"
"HIV prevalence","2018","Indiana","18","11,375","204.0"
"HIV prevalence","2019","Indiana","18","11,589","206.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Indiana","18","11,873","210.5"
"AIDS classifications","2008","Iowa","19","69","2.8"
"AIDS classifications","2009","Iowa","19","91","3.6"
"AIDS classifications","2010","Iowa","19","71","2.8"
"AIDS classifications","2011","Iowa","19","71","2.8"
"AIDS classifications","2012","Iowa","19","74","2.9"
"AIDS classifications","2013","Iowa","19","82","3.2"
"AIDS classifications","2014","Iowa","19","61","2.4"
"AIDS classifications","2015","Iowa","19","68","2.6"
"AIDS classifications","2016","Iowa","19","60","2.3"
"AIDS classifications","2017","Iowa","19","62","2.4"
"AIDS classifications","2018","Iowa","19","42","1.6"
"AIDS classifications","2019","Iowa","19","44","1.7"
"AIDS classifications","2020 (COVID-19 Pandemic)","Iowa","19","48","1.8"
"AIDS deaths","2008","Iowa","19","20","0.8"
"AIDS deaths","2009","Iowa","19","33","1.3"
"AIDS deaths","2010","Iowa","19","23","0.9"
"AIDS deaths","2011","Iowa","19","28","1.1"
"AIDS deaths","2012","Iowa","19","36","1.4"
"AIDS deaths","2013","Iowa","19","37","1.4"
"AIDS deaths","2014","Iowa","19","49","1.9"
"AIDS deaths","2015","Iowa","19","29","1.1"
"AIDS deaths","2016","Iowa","19","28","1.1"
"AIDS deaths","2017","Iowa","19","31","1.2"
"AIDS deaths","2018","Iowa","19","37","1.4"
"AIDS deaths","2019","Iowa","19","45","1.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","Iowa","19","49","1.9"
"AIDS prevalence","2008","Iowa","19","921","37.0"
"AIDS prevalence","2009","Iowa","19","984","39.4"
"AIDS prevalence","2010","Iowa","19","1,174","46.5"
"AIDS prevalence","2011","Iowa","19","1,212","47.6"
"AIDS prevalence","2012","Iowa","19","1,268","49.6"
"AIDS prevalence","2013","Iowa","19","1,302","50.6"
"AIDS prevalence","2014","Iowa","19","1,332","51.5"
"AIDS prevalence","2015","Iowa","19","1,348","51.9"
"AIDS prevalence","2016","Iowa","19","1,423","54.6"
"AIDS prevalence","2017","Iowa","19","1,484","56.7"
"AIDS prevalence","2018","Iowa","19","1,501","57.2"
"AIDS prevalence","2019","Iowa","19","1,494","56.6"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Iowa","19","1,495","56.5"
"HIV deaths","2008","Iowa","19","24","1.0"
"HIV deaths","2009","Iowa","19","37","1.5"
"HIV deaths","2010","Iowa","19","28","1.1"
"HIV deaths","2011","Iowa","19","36","1.4"
"HIV deaths","2012","Iowa","19","43","1.7"
"HIV deaths","2013","Iowa","19","42","1.6"
"HIV deaths","2014","Iowa","19","54","2.1"
"HIV deaths","2015","Iowa","19","36","1.4"
"HIV deaths","2016","Iowa","19","33","1.3"
"HIV deaths","2017","Iowa","19","44","1.7"
"HIV deaths","2018","Iowa","19","50","1.9"
"HIV deaths","2019","Iowa","19","61","2.3"
"HIV deaths","2020 (COVID-19 Pandemic)","Iowa","19","59","2.2"
"HIV diagnoses","2008","Iowa","19","97","3.9"
"HIV diagnoses","2009","Iowa","19","123","4.9"
"HIV diagnoses","2010","Iowa","19","113","4.5"
"HIV diagnoses","2011","Iowa","19","113","4.4"
"HIV diagnoses","2012","Iowa","19","117","4.6"
"HIV diagnoses","2013","Iowa","19","119","4.6"
"HIV diagnoses","2014","Iowa","19","94","3.6"
"HIV diagnoses","2015","Iowa","19","123","4.7"
"HIV diagnoses","2016","Iowa","19","132","5.1"
"HIV diagnoses","2017","Iowa","19","125","4.8"
"HIV diagnoses","2018","Iowa","19","114","4.3"
"HIV diagnoses","2019","Iowa","19","100","3.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Iowa","19","100","3.8"
"HIV prevalence","2008","Iowa","19","1,476","59.4"
"HIV prevalence","2009","Iowa","19","1,570","62.9"
"HIV prevalence","2010","Iowa","19","1,976","78.2"
"HIV prevalence","2011","Iowa","19","2,050","80.6"
"HIV prevalence","2012","Iowa","19","2,155","84.4"
"HIV prevalence","2013","Iowa","19","2,226","86.6"
"HIV prevalence","2014","Iowa","19","2,322","89.8"
"HIV prevalence","2015","Iowa","19","2,392","92.1"
"HIV prevalence","2016","Iowa","19","2,536","97.3"
"HIV prevalence","2017","Iowa","19","2,660","101.6"
"HIV prevalence","2018","Iowa","19","2,772","105.6"
"HIV prevalence","2019","Iowa","19","2,872","108.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Iowa","19","2,940","111.1"
"AIDS classifications","2008","Kansas","20","98","4.3"
"AIDS classifications","2009","Kansas","20","95","4.1"
"AIDS classifications","2010","Kansas","20","87","3.7"
"AIDS classifications","2011","Kansas","20","91","3.9"
"AIDS classifications","2012","Kansas","20","87","3.7"
"AIDS classifications","2013","Kansas","20","78","3.3"
"AIDS classifications","2014","Kansas","20","67","2.8"
"AIDS classifications","2015","Kansas","20","61","2.6"
"AIDS classifications","2016","Kansas","20","60","2.5"
"AIDS classifications","2017","Kansas","20","61","2.5"
"AIDS classifications","2018","Kansas","20","79","3.3"
"AIDS classifications","2019","Kansas","20","50","2.1"
"AIDS classifications","2020 (COVID-19 Pandemic)","Kansas","20","57","2.4"
"AIDS deaths","2008","Kansas","20","48","2.1"
"AIDS deaths","2009","Kansas","20","33","1.4"
"AIDS deaths","2010","Kansas","20","40","1.7"
"AIDS deaths","2011","Kansas","20","40","1.7"
"AIDS deaths","2012","Kansas","20","39","1.7"
"AIDS deaths","2013","Kansas","20","42","1.8"
"AIDS deaths","2014","Kansas","20","35","1.5"
"AIDS deaths","2015","Kansas","20","43","1.8"
"AIDS deaths","2016","Kansas","20","37","1.5"
"AIDS deaths","2017","Kansas","20","37","1.5"
"AIDS deaths","2018","Kansas","20","40","1.7"
"AIDS deaths","2019","Kansas","20","30","1.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kansas","20","24","1.0"
"AIDS prevalence","2008","Kansas","20","1,298","56.7"
"AIDS prevalence","2009","Kansas","20","1,351","58.6"
"AIDS prevalence","2010","Kansas","20","1,471","63.2"
"AIDS prevalence","2011","Kansas","20","1,504","64.3"
"AIDS prevalence","2012","Kansas","20","1,518","64.4"
"AIDS prevalence","2013","Kansas","20","1,521","64.2"
"AIDS prevalence","2014","Kansas","20","1,557","65.5"
"AIDS prevalence","2015","Kansas","20","1,478","61.9"
"AIDS prevalence","2016","Kansas","20","1,510","63.0"
"AIDS prevalence","2017","Kansas","20","1,544","64.4"
"AIDS prevalence","2018","Kansas","20","1,578","65.6"
"AIDS prevalence","2019","Kansas","20","1,584","65.7"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kansas","20","1,676","69.3"
"HIV deaths","2008","Kansas","20","56","2.4"
"HIV deaths","2009","Kansas","20","41","1.8"
"HIV deaths","2010","Kansas","20","49","2.1"
"HIV deaths","2011","Kansas","20","46","2.0"
"HIV deaths","2012","Kansas","20","44","1.9"
"HIV deaths","2013","Kansas","20","56","2.4"
"HIV deaths","2014","Kansas","20","46","1.9"
"HIV deaths","2015","Kansas","20","51","2.1"
"HIV deaths","2016","Kansas","20","51","2.1"
"HIV deaths","2017","Kansas","20","47","2.0"
"HIV deaths","2018","Kansas","20","51","2.1"
"HIV deaths","2019","Kansas","20","38","1.6"
"HIV deaths","2020 (COVID-19 Pandemic)","Kansas","20","32","1.3"
"HIV diagnoses","2008","Kansas","20","138","6.0"
"HIV diagnoses","2009","Kansas","20","152","6.6"
"HIV diagnoses","2010","Kansas","20","136","5.8"
"HIV diagnoses","2011","Kansas","20","136","5.8"
"HIV diagnoses","2012","Kansas","20","151","6.4"
"HIV diagnoses","2013","Kansas","20","146","6.2"
"HIV diagnoses","2014","Kansas","20","130","5.5"
"HIV diagnoses","2015","Kansas","20","154","6.4"
"HIV diagnoses","2016","Kansas","20","149","6.2"
"HIV diagnoses","2017","Kansas","20","120","5.0"
"HIV diagnoses","2018","Kansas","20","157","6.5"
"HIV diagnoses","2019","Kansas","20","132","5.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kansas","20","138","5.7"
"HIV prevalence","2008","Kansas","20","2,214","96.7"
"HIV prevalence","2009","Kansas","20","2,319","100.6"
"HIV prevalence","2010","Kansas","20","2,589","111.2"
"HIV prevalence","2011","Kansas","20","2,667","113.9"
"HIV prevalence","2012","Kansas","20","2,710","115.0"
"HIV prevalence","2013","Kansas","20","2,749","116.1"
"HIV prevalence","2014","Kansas","20","2,820","118.6"
"HIV prevalence","2015","Kansas","20","2,790","116.8"
"HIV prevalence","2016","Kansas","20","2,908","121.4"
"HIV prevalence","2017","Kansas","20","2,993","124.8"
"HIV prevalence","2018","Kansas","20","3,079","128.0"
"HIV prevalence","2019","Kansas","20","3,162","131.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kansas","20","3,354","138.8"
"AIDS classifications","2008","Kentucky","21","251","7.1"
"AIDS classifications","2009","Kentucky","21","204","5.7"
"AIDS classifications","2010","Kentucky","21","204","5.6"
"AIDS classifications","2011","Kentucky","21","167","4.6"
"AIDS classifications","2012","Kentucky","21","176","4.8"
"AIDS classifications","2013","Kentucky","21","189","5.1"
"AIDS classifications","2014","Kentucky","21","163","4.4"
"AIDS classifications","2015","Kentucky","21","145","3.9"
"AIDS classifications","2016","Kentucky","21","179","4.8"
"AIDS classifications","2017","Kentucky","21","164","4.4"
"AIDS classifications","2018","Kentucky","21","142","3.8"
"AIDS classifications","2019","Kentucky","21","149","4.0"
"AIDS classifications","2020 (COVID-19 Pandemic)","Kentucky","21","125","3.3"
"AIDS deaths","2008","Kentucky","21","111","3.1"
"AIDS deaths","2009","Kentucky","21","96","2.7"
"AIDS deaths","2010","Kentucky","21","95","2.6"
"AIDS deaths","2011","Kentucky","21","91","2.5"
"AIDS deaths","2012","Kentucky","21","87","2.4"
"AIDS deaths","2013","Kentucky","21","90","2.4"
"AIDS deaths","2014","Kentucky","21","87","2.4"
"AIDS deaths","2015","Kentucky","21","96","2.6"
"AIDS deaths","2016","Kentucky","21","95","2.6"
"AIDS deaths","2017","Kentucky","21","108","2.9"
"AIDS deaths","2018","Kentucky","21","102","2.7"
"AIDS deaths","2019","Kentucky","21","84","2.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kentucky","21","117","3.1"
"AIDS prevalence","2008","Kentucky","21","2,519","70.8"
"AIDS prevalence","2009","Kentucky","21","2,636","73.6"
"AIDS prevalence","2010","Kentucky","21","2,841","78.7"
"AIDS prevalence","2011","Kentucky","21","2,936","80.8"
"AIDS prevalence","2012","Kentucky","21","3,013","82.5"
"AIDS prevalence","2013","Kentucky","21","3,245","88.3"
"AIDS prevalence","2014","Kentucky","21","3,305","89.6"
"AIDS prevalence","2015","Kentucky","21","3,324","89.8"
"AIDS prevalence","2016","Kentucky","21","3,409","91.8"
"AIDS prevalence","2017","Kentucky","21","3,467","92.9"
"AIDS prevalence","2018","Kentucky","21","3,489","93.3"
"AIDS prevalence","2019","Kentucky","21","3,573","95.2"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","3,656","97.2"
"HIV deaths","2008","Kentucky","21","136","3.8"
"HIV deaths","2009","Kentucky","21","124","3.5"
"HIV deaths","2010","Kentucky","21","118","3.3"
"HIV deaths","2011","Kentucky","21","108","3.0"
"HIV deaths","2012","Kentucky","21","118","3.2"
"HIV deaths","2013","Kentucky","21","119","3.2"
"HIV deaths","2014","Kentucky","21","119","3.2"
"HIV deaths","2015","Kentucky","21","127","3.4"
"HIV deaths","2016","Kentucky","21","122","3.3"
"HIV deaths","2017","Kentucky","21","139","3.7"
"HIV deaths","2018","Kentucky","21","136","3.6"
"HIV deaths","2019","Kentucky","21","110","2.9"
"HIV deaths","2020 (COVID-19 Pandemic)","Kentucky","21","158","4.2"
"HIV diagnoses","2008","Kentucky","21","347","9.7"
"HIV diagnoses","2009","Kentucky","21","343","9.6"
"HIV diagnoses","2010","Kentucky","21","326","9.0"
"HIV diagnoses","2011","Kentucky","21","306","8.4"
"HIV diagnoses","2012","Kentucky","21","361","9.9"
"HIV diagnoses","2013","Kentucky","21","354","9.6"
"HIV diagnoses","2014","Kentucky","21","341","9.2"
"HIV diagnoses","2015","Kentucky","21","341","9.2"
"HIV diagnoses","2016","Kentucky","21","338","9.1"
"HIV diagnoses","2017","Kentucky","21","367","9.8"
"HIV diagnoses","2018","Kentucky","21","378","10.1"
"HIV diagnoses","2019","Kentucky","21","328","8.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kentucky","21","300","8.0"
"HIV prevalence","2008","Kentucky","21","4,533","127.3"
"HIV prevalence","2009","Kentucky","21","4,769","133.1"
